gene,log2FC,mean_case,mean_ctrl,t,p,padj
SPATA6,-0.6386306845023357,1.3408757549728598,1.9795064394751956,-12.864843169178155,5.783813376093047e-27,3.4850582016871967e-26
NBR1,-0.5583838910508003,4.504831184995655,5.063215076046455,-13.343230314256175,6.027523702435399e-27,3.630435163561678e-26
OPTN,-0.4663781403347862,4.879496233957199,5.345874374291985,-12.876861398261802,6.166754280464342e-27,3.71279069984214e-26
MGC16275,-0.353117192009179,0.9951461884783125,1.3482633804874915,-12.916731699698062,6.201398941094332e-27,3.732137459893411e-26
C17orf65,-0.5301511744880025,1.2829492534253821,1.8131004279133847,-12.852664478633674,6.2257066041923366e-27,3.745250047402634e-26
SERP2,-0.6210783334764579,0.8130205407903882,1.4340988742668461,-13.020405972146424,6.356301896326127e-27,3.8222664922689266e-26
AQP1,-0.8325792133626768,6.845058894445181,7.677638107807858,-13.191710629965334,6.430318473463207e-27,3.8652116501427645e-26
PLAGL1,-0.6482791259113947,3.0680922581949206,3.7163713841063153,-12.889867613561188,6.610596732844337e-27,3.971969298048952e-26
ANGPTL4,1.4008942608607713,4.2824651401883775,2.8815708793276062,13.080347125298559,6.836117637922739e-27,4.105813684352385e-26
STON1,-0.6745990093048522,1.3200797138590281,1.9946787231638803,-12.90912175574703,6.934908479069992e-27,4.163465853851996e-26
VPS39,-0.44066976695530435,4.009013059214246,4.449682826169551,-12.98352985366767,6.959303643389147e-27,4.176425056882506e-26
SAMD4A,-0.8792856200251664,1.9849430877800798,2.864228707805246,-12.834929127947866,7.03754683717775e-27,4.221676099057597e-26
ACTA2,-1.214459890617885,6.646383878017654,7.860843768635539,-13.070923096158186,7.230821606726217e-27,4.335867817022397e-26
OLFM2,-0.7881574792722379,5.432009750764112,6.22016723003635,-12.83054821852728,7.235935874556497e-27,4.3371849506162234e-26
FZD1,-0.7278255884517737,3.5902272194010614,4.318052807852835,-12.85845447044979,7.289884065794534e-27,4.367760041839409e-26
IFT140,-0.46875565245901374,1.6978666492646917,2.1666223017237054,-12.927224981453644,7.352894574937914e-27,4.403738028060116e-26
