gene,meta_log2FC,meta_SE,meta_p,I2,n_cohorts,meta_padj,n_concordant
GPC3,-1.257059678584052,0.2205430351325305,1.199209931357359e-08,93.19967895469185,5,4.956387539868882e-08,5
S100A2,1.7845433394378472,0.3131460265531981,1.2068358312689043e-08,98.74891708324971,5,4.98430174243718e-08,5
SEC61G,0.5523611978249306,0.09692615887088865,1.2066532217858139e-08,93.98591705126968,5,4.98430174243718e-08,5
ING1,-0.3410035125487904,0.059905968944084904,1.2532999305037151e-08,92.7984291092003,5,5.174331818533214e-08,5
NBL1,-0.5631497195012005,0.09895586420612577,1.2635810175964934e-08,92.66287178756146,5,5.214894654571521e-08,5
PNO1,0.5491144867187994,0.09649522894053883,1.266034521663073e-08,91.89591670414255,5,5.2231348436132266e-08,5
DNAJC9,0.5184624547905334,0.09111091756875887,1.2670229088129759e-08,95.54845211406547,5,5.225326801424942e-08,5
S100A11,0.7640965620743545,0.13436544540585704,1.2951439254393904e-08,98.21709126208444,5,5.3393744520819006e-08,5
GPATCH4,0.6515454864972003,0.11459617074724184,1.3037083634870328e-08,94.33175522131447,5,5.372744776994866e-08,5
SLC35A1,-0.3349746319676604,0.05891959145552293,1.3059517467439719e-08,83.33192747986627,5,5.3800505833430946e-08,5
PDPN,0.5083400239313818,0.08944801488535264,1.3229208173370921e-08,82.68295298710613,5,5.447993798197996e-08,5
FERMT3,0.37379657629291346,0.0657833040406962,1.3294127798602062e-08,81.15010191333906,5,5.472757255801901e-08,5
FAM193A,-0.3657121014045892,0.06437306814583199,1.338036748066429e-08,84.6355816714074,5,5.5062764952827275e-08,5
ZC3H6,-0.8946159207566149,0.15748145070964695,1.3408959276262067e-08,96.72195582670724,5,5.5160569430092816e-08,5
SLC45A4,-0.7670307926113075,0.1351282818072364,1.3762665229677395e-08,93.8804631381967,5,5.6595247807795675e-08,5
STK38,-0.26549505841799453,0.046775026188483365,1.3788060915231881e-08,64.68880710824966,5,5.667929247857996e-08,5
ANKRD6,-0.6283609874085766,0.11071855078589568,1.3844583923727782e-08,92.64573742556087,5,5.6891187424894325e-08,5
PI4K2A,0.6792689985879714,0.1196975442555543,1.3878727278537895e-08,97.89199180670572,5,5.701099901122717e-08,5
WDR4,0.9577631898551351,0.16881068272847374,1.3983273428053167e-08,95.18760091859723,5,5.7419821059448207e-08,5
PACS1,-0.15198060432340502,0.02679812821866959,1.4170625561860106e-08,0.0,5,5.816825544818123e-08,4
KIAA0513,0.6221140757571725,0.10972440029809148,1.4297441675026334e-08,94.31250313962288,5,5.86677506205675e-08,5
FNDC3A,-0.39012270253429854,0.06881396631183234,1.4343461529620072e-08,86.10437643238137,5,5.8835469037178563e-08,5
AK2,0.6576347552778398,0.1160019576112293,1.4349139210168005e-08,97.889428884384,5,5.883764686177928e-08,5
NCOA2,-0.4681768085785705,0.08260542921274712,1.447882436167447e-08,87.35794753894864,5,5.9348124812715146e-08,5
GZMB,2.765351224891328,0.4881591922698085,1.4714859331022012e-08,98.55820390296432,5,6.029400425528445e-08,5
MYH9,0.2113337098268697,0.03730890464716072,1.4751334820317652e-08,44.14440921187048,5,6.042180568465475e-08,4
ZNF529,-0.7152022749035871,0.12630296121837445,1.4910244372501325e-08,95.51640369483316,5,6.105082867708995e-08,5
CYP2U1,-0.4516471057372943,0.07977374173596709,1.499670898574834e-08,90.36800805699696,5,6.138287759580201e-08,5
PI3,6.269764088087289,1.1077661625036164,1.5152626264836044e-08,99.70177311895753,5,6.19988630850414e-08,5
POU2F3,-0.6158013307644169,0.1088130544913984,1.5202738179453945e-08,90.38088047604941,5,6.218164682200984e-08,5
POLR3GL,-0.5661397159815066,0.1000618496005351,1.532383597790954e-08,94.16905167257853,5,6.265453966361296e-08,5
EHD2,-0.6579847245159054,0.11632019683864481,1.543399830161718e-08,94.26689849852362,5,6.308239849270204e-08,5
GRAMD1C,0.48999632820224215,0.08664261176455665,1.5550775334105538e-08,74.88830119015739,5,6.353697770532327e-08,5
SELPLG,0.5109881397788113,0.09035929648154259,1.557828399612049e-08,88.24858072304266,5,6.362663188411914e-08,5
ZNF639,-0.30620953020309444,0.054156014382836334,1.5656381968653932e-08,82.3124043642805,5,6.392277095201848e-08,5
EID1,-0.47670955571694595,0.08438285578383489,1.6104155564633515e-08,92.27105052035486,5,6.572749247229217e-08,5
MSI2,-0.3471716669869268,0.06148509373258821,1.638077917753833e-08,81.31621140328991,5,6.683264366795796e-08,5
FBXO8,-0.33239380847343136,0.05889684521196068,1.6647203171515912e-08,86.92818426488057,5,6.789540729816979e-08,5
NOL10,0.3795193678635604,0.06724965506507148,1.6668600055780303e-08,91.53782765844294,5,6.7958429328702e-08,5
RHBDD3,0.2679535207524167,0.047485072492862025,1.6720936857339552e-08,66.30234883218733,5,6.814750451091115e-08,5
CHCHD4,0.3934005650399123,0.06972790186952944,1.6814573067236438e-08,87.55481597700889,5,6.850470395746506e-08,5
PSMB5,0.5822966216304064,0.10324486415476733,1.7009237351928164e-08,96.6794315768578,5,6.927310345822684e-08,5
FAM20A,0.6249866979975425,0.11082302743290333,1.705425534126448e-08,80.99849517878552,5,6.943171191643003e-08,5
SLC25A19,0.36461761315282126,0.06469899248335088,1.744503297373967e-08,80.26338153649654,5,7.099737164677533e-08,5
BLZF1,0.4775527748258766,0.0847415372462388,1.7464869106476044e-08,90.11323566813071,5,7.105280556058155e-08,5
KRT80,0.4917863399158723,0.08727457026778625,1.751265976679406e-08,84.81552936465478,5,7.122188774599419e-08,5
SEC61B,0.45793366887993237,0.08128597947868274,1.7647382444252457e-08,95.62094342711619,5,7.17442660393649e-08,5
LRP10,0.4493790431958225,0.0797752825572277,1.7703867039031707e-08,92.39146961900443,5,7.194831425176341e-08,5
YES1,0.38049477608485366,0.06754933280530641,1.7726297762976628e-08,87.53681753115148,5,7.201387207759375e-08,5
CNGA1,-1.028137035146028,0.18258334663882886,1.7910963601153185e-08,97.8023628440056,5,7.273823655004732e-08,5
